corpusId,title,year,citations,venue,tier,artifact_name,artifact_kind,source_space,task_shape,modality,n_steps,headline_result,availability,step_dependency,decomposition_known_upfront,answer_multiplicity,coverage_determinability,step_dependency__depth,decomposition_known_upfront__depth,answer_multiplicity__depth,coverage_determinability__depth,search_tools,search_tools_kind,search_tools_named,search_access,search_tools_depth,task_summary,task_phrase,task_summary_depth,link
286082720,AgentVista: Evaluating Multimodal Agents in Ultra-Challenging Realistic Visual Scenarios,2026,19,arXiv.org,in,AgentVista,benchmark,mixed,single-fact-answer,multimodal-mixed,"hard instances can require more than 25 tool-calling turns (variable, not a fixed count)","best model in evaluation, Gemini-3-Pro with tools, achieves only 27.3% overall accuracy; hard instances can require more than 25 tool-calling turns",,adaptive,partially-emergent,single-verifiable,knowable,abstract,abstract,abstract,fulltext,"['web-search-api', 'web-browser', 'code-execution', 'multimodal-viewer']",listed,"web_search (retrieve web pages), visit (open/navigate a page), image_search (locate images), code_interpreter (programming and image processing: cropping, resizing, measuring, comparing visual regions)",open-web,fulltext,"Given a photo or screenshot, use web/image search, browsing, and code tools to verify visual details and compute a deterministic answer.","Every task requires long-horizon interaction with interleaved tools, where the agent repeatedly grounds visual cues, retrieves external information, and verifies intermediate decisions",fulltext,https://api.semanticscholar.org/CorpusId:286082720
287431986,AgentWebBench: Benchmarking Multi-Agent Coordination in Agentic Web,2026,3,arXiv.org,in,AgentWebBench,benchmark,tool-APIs-as-sources,mixed-battery,text-web,,,https://github.com/cxcscmu/AgentWebBench,adaptive,partially-emergent,open-ended,hard,abstract,abstract,abstract,fulltext,"['local-retriever', 'domain-api']",listed,MiniCPM-Embedding-Light dense retriever per website; per-website content agents (agent-to-agent tool calls),fixed-corpus,fulltext,"Given a search, recommendation, QA, or research query, query separate per-website content agents and combine their replies into one final answer.",a benchmark that evaluates how well a user agent synthesizes answers by interacting with website-specific content agents,fulltext,https://api.semanticscholar.org/CorpusId:287431986
288653173,Agentic Graph Retrieval-Augmented Generation for Auditable Commercial Registry Analysis,2026,1,IEEE Access,relevant,Agentic GraphRAG commercial registry benchmark,benchmark,structured-database,structured-record,text-web,,"Graph-mediated retrieval increases factual correctness from 0.26 (strongest flat-retrieval baseline) to 0.83 (complete system) on a manually curated benchmark, with comparable improvements in relevance and completeness.",,adaptive,partially-emergent,single-verifiable,knowable,abstract,abstract,abstract,abstract,['structured-query'],listed,"a restricted, intent-gated set of tool endpoints mapped to Cypher queries over a Neo4j knowledge graph (foundational search/traversal tools for entity exploration; statistical aggregation functions for macro-analytics)",structured-database,fulltext,"Given a natural-language question about companies, query a commercial-registry knowledge graph to trace networks, events, or statistics.","The resulting system supports natural-language questions, corporate-network exploration, event-history tracing, and higher-level analytical queries over the registry.",fulltext,https://api.semanticscholar.org/CorpusId:288653173
287121562,Agentic-MME: What Agentic Capability Really Brings to Multimodal Intelligence?,2026,3,arXiv.org,relevant,Agentic-MME,benchmark,mixed,trajectory-graded,multimodal-mixed,"over 2,000 stepwise checkpoints across 418 tasks (roughly 4.8 checkpoints/task on average); each task averages 10+ person-hours of manual annotation.","Best model Gemini3-pro achieves 56.3% overall accuracy, falling significantly to 23.0% on Level-3 (hardest) tasks.",,mixed,enumerable-at-start,single-verifiable,knowable,abstract,abstract,abstract,abstract,"['code-execution', 'multimodal-viewer', 'web-search-api']",listed,"13 distinct visual manipulation operations (e.g. crop, rotate, flip, resize, enhance) for Visual Expansion, and 4 open-web retrieval tools (text search, image search, page fetch) for Knowledge Expansion, exposed via both sandboxed Python code execution and structured function-calling APIs",open-web,fulltext,"Given an image and question, crop or transform the image and search the web across multiple steps to verify facts and answer correctly.","These agents increasingly solve problems through Visual Expansion , actively invoking visual tools to transform images. Furthermore, as real-world tasks often require information beyond visual content, modern systems combine these visual operations with Knowledge Expansion via open-web search.",fulltext,https://api.semanticscholar.org/CorpusId:287121562
285972762,AgenticRAGTracer: A Hop-Aware Benchmark for Diagnosing Multi-Step Retrieval Reasoning in Agentic RAG,2026,3,Annual Meeting of the Association for Computational Linguistics,in,AgenticRAGTracer,benchmark,curated-corpus,single-fact-answer,text-web,,GPT-5 attains merely 22.6% EM accuracy on the hardest portion of the dataset; no human baseline is stated.,https://github.com/YqjMartin/AgenticRAGTracer,fixed-chain,partially-emergent,single-verifiable,knowable,abstract,abstract,abstract,abstract,['local-retriever'],listed,an RAG Search tool (RAGTool) retrieving over the FlashRAG index/corpus,fixed-corpus,fulltext,"Given a multi-hop question, iteratively plan and issue retrieval-tool queries over a fixed corpus to find the final answer.",a Hop-Aware benchmark specifically designed for diagnosing multi-step retrieval reasoning in Agentic RAG,fulltext,https://api.semanticscholar.org/CorpusId:285972762
285606721,AgenticShop: Benchmarking Agentic Product Curation for Personalized Web Shopping,2026,10,The Web Conference,in,AgenticShop,benchmark,open-web,set-of-entities,text-web,,Current agentic systems remain largely insufficient at personalized product curation; no single numeric headline score or model name is given in the abstract.,,adaptive,enumerable-at-start,set-valued,knowable,fulltext,fulltext,abstract,abstract,"['web-search-api', 'web-browser']",listed,"Search-augmented LLMs (ChatGPT Search, Claude Sonnet 4 Search, Gemini-2.5 flash-grounding, Perplexity-pro) using built-in web search; Autonomous web agents (Agent-E, SeeAct, Web Voyager, Browser Use) that browse and navigate live websites; ground-truth product data extracted via Playwright-rendered page screenshots",open-web,fulltext,"Given a shopper profile and query, search or browse e-commerce sites and recommend products matching the user's stated preferences and requirements.","a narrative describing the user's general shopping preferences and constraints, a query tailored to one of the three shopping intents, and a checklist categorizing the user's requirements into evaluable attributes",fulltext,https://api.semanticscholar.org/CorpusId:285606721
289621884,AGORA: An Archive-Grounded Benchmark for Agentic Workplace Document Reasoning,2026,1,arXiv.org,in,Agora,benchmark,enterprise-documents,single-fact-answer,text-web,,"The strongest of eight evaluated models reaches only 59.4% accuracy, with notable variation across domains; no human baseline given.",,mixed,partially-emergent,single-verifiable,hard,abstract,abstract,abstract,abstract,"['file-reader', 'code-execution']",listed,"a single bash tool (mini-swe-agent harness) inside a no-internet E2B sandbox pre-loaded with python3, jq, ripgrep, fd, pandas, numpy, pymupdf, pdfplumber, etc. for parsing/computing over the mounted document collection",fixed-corpus,fulltext,"Given a query and a domain's document archive, explore files via bash, reconcile inconsistent evidence, and compute one verifiable numeric answer.","the agent must locate bridging facts, reconcile inconsistent terminology, units, and time conventions, and compute an answer",fulltext,https://api.semanticscholar.org/CorpusId:289621884
288654780,ArtifactLinker: Linking Scientific Artifacts for Automatic State-of-the-Art Discovery,2026,0,arXiv.org,relevant,ArtifactBench,benchmark,structured-database,structured-record,text-web,2,,,fixed-chain,enumerable-at-start,ranked,knowable,abstract,abstract,abstract,abstract,"['code-execution', 'domain-api', 'structured-query']",listed,"verification-stage agent (ArtifactCoder) combines HuggingFace API tools (programmatic access to model/dataset metadata on the HuggingFace artifact graph) with code execution to run reproduction experiments, plus self-evolving memory and multi-agent planner-executor coordination; the ranking stage instead uses GNNs or graph-augmented LLMs over the artifact graph, not a live agent tool",mixed,fulltext,"Given a dataset, predict and then verify via code execution which existing model achieves state-of-the-art performance on it.",how can we automatically discover the state-of-the-art (SOTA) model for a given dataset by fully leveraging existing artifacts?,fulltext,https://api.semanticscholar.org/CorpusId:288654780
282384249,AstaBench: Rigorous Benchmarking of AI Agents with a Scientific Research Suite,2025,42,arXiv.org,in,AstaBench,benchmark,mixed,mixed-battery,text-web,,"No single top numeric score is stated; the headline finding is qualitative: despite meaningful progress on individual aspects, 'AI remains far from solving the challenge of science research assistance' across the 57 agents evaluated.",,not-determinable,not-determinable,not-determinable,not-determinable,abstract,abstract,abstract,abstract,"['web-search-api', 'domain-api']",partially-listed,,not-stated,abstract,"Given a scientific research request, perform tasks like literature review, experiment replication, or data analysis across the research process.","comprising 2400+ problems spanning the entire scientific discovery process and multiple scientific domains, and including many problems inspired by actual user requests to deployed Asta agents",abstract,https://api.semanticscholar.org/CorpusId:282384249
281724928,Stream RAG: Instant and Accurate Spoken Dialogue Systems with Streaming Tool Usage,2025,22,arXiv.org,relevant,AudioCRAG,benchmark,curated-corpus,single-fact-answer,multimodal-mixed,,The streaming RAG approach increases QA accuracy by up to 200% relative (from 11.1% to 34.2% absolute) and reduces tool-use latency by 20%.,,adaptive,not-determinable,single-verifiable,not-determinable,abstract,abstract,abstract,abstract,"['web-search-api', 'structured-query']",listed,adopts the CRAG benchmark's mock APIs for both web search and knowledge-graph (KG) search,simulated-or-sandboxed-web,fulltext,"Given a spoken question, issue search/knowledge-graph tool queries while the user is still speaking, then give a fast, accurate spoken answer.","we develop a post-training pipeline that teaches the model when to issue tool calls during ongoing speech and how to generate spoken summaries that fuse audio queries with retrieved text results, thereby improving both accuracy and responsiveness",fulltext,https://api.semanticscholar.org/CorpusId:281724928
287831359,AutoResearchBench: Benchmarking AI Agents on Complex Scientific Literature Discovery,2026,9,arXiv.org,in,AutoResearchBench,benchmark,scientific-literature,scientific-rediscovery,text-web,,Best LLMs reach only 9.39% accuracy on Deep Research and 9.31% IoU on Wide Research; many strong baselines fall below 5% (models not individually named in the abstract).,https://github.com/CherYou/AutoResearchBench,mixed,fully-emergent,set-valued,hard,abstract,abstract,abstract,abstract,"['domain-api', 'web-search-api']",listed,DeepXiv search tool (agentic scholarly-literature search over a curated 3M+ paper arXiv corpus with full-text access); an ablation swaps in an open-web search tool (jina search),fixed-corpus,fulltext,"Given a scientific query with conjunctive constraints, search a paper corpus for the one matching paper, or all papers that match.",It asks the agent to retrieve the complete set of papers satisfying a scientific query,fulltext,https://api.semanticscholar.org/CorpusId:287831359
276929324,BEARCUBS: A benchmark for computer-using web agents,2025,29,arXiv.org,relevant,BEARCUBS,benchmark,open-web,single-fact-answer,multimodal-mixed,,Best-scoring system (OpenAI's Operator) reaches only 23.4% accuracy vs. 84.7% human accuracy.,,not-determinable,not-determinable,single-verifiable,knowable,abstract,abstract,abstract,abstract,"['web-browser', 'multimodal-viewer', 'web-search-api']",listed,"computer-use agents (Anthropic Computer Use, Convergence Proxy, OpenAI Operator, ChatGPT Agent) that control mouse/keyboard/screen on live websites (watching video, 3D navigation); Serper Google Search API for LLM+search-augmented baselines; OpenAI/Google Deep Research for non-computer-using baselines",open-web,fulltext,"Given a factual question, browse live websites with real computer-use actions, interpreting text, video and 3D content to find a short answer.","designed to evaluate a web agent’s ability to search, browse, and identify factual information from the web",fulltext,https://api.semanticscholar.org/CorpusId:276929324
277313231,Browsing Lost Unformed Recollections: A Benchmark for Tip-of-the-Tongue Search and Reasoning,2025,10,Annual Meeting of the Association for Computational Linguistics,in,BLUR (Browsing Lost Unformed Recollections),benchmark,mixed,single-fact-answer,multimodal-mixed,,Humans average 98% accuracy vs. best-performing system ~56% (specific system not named in abstract) -- a ~42-point human gap.,350 questions released via a public leaderboard; 250 answers retained; remainder held as a private test set.,adaptive,fully-emergent,single-verifiable,knowable,fulltext,fulltext,abstract,abstract,['agent-choice'],listed,"Operator, ChatGPT with Deep Research, Claude 3.5 Sonnet, DeepSeek r1, and a manual web-search baseline; annotator tool categories include Search Engine, Web Browsing (Google Search, Google Maps, Wikipedia), Multimodality (Google Lens, Bing images, OCR, Google Street View, Speech-to-Text), Multilinguality (Google Translate)",open-web,fulltext,"Given a vague, tip-of-the-tongue description of a forgotten entity, search across text, images and maps to name it.",Please identify the entity mentioned in the following query.,fulltext,https://api.semanticscholar.org/CorpusId:277313231
287980194,Rethinking Reasoning-Intensive Retrieval: Evaluating and Advancing Retrievers in Agentic Search Systems,2026,1,Annual Meeting of the Association for Computational Linguistics,relevant,BRIGHT-Pro,benchmark,curated-corpus,ranked-list,text-web,,"RTriever-4B substantially improves over its base model (Qwen3-Embedding-4B) across lexical, general-purpose, and reasoning-intensive retriever comparisons; no single numeric top score is given in the abstract.",,adaptive,partially-emergent,set-valued,estimable,abstract,abstract,abstract,abstract,['local-retriever'],listed,"BM25; BGE-Reasoner; DIVER family; Qwen-family embedders; RTriever-4B (Qwen3-Embedding-4B, LoRA fine-tuned)",fixed-corpus,fulltext,"Given an analytical query, retrieve passages that cover every reasoning aspect needed to answer it, not just topically similar text.",Reasoning-intensive retrieval aims to surface evidence that supports downstream reasoning rather than merely matching topical similarity.,fulltext,https://api.semanticscholar.org/CorpusId:287980194
280010989,Benchmarking Deep Search over Heterogeneous Enterprise Data,2025,22,Conference on Empirical Methods in Natural Language Processing,in,Benchmarking Deep Search over Heterogeneous Enterprise Data,benchmark,enterprise-documents,single-fact-answer,text-web,,The best-performing agentic RAG methods achieve an average performance score of only 32.96 (specific model/method not individually named in the abstract).,,fixed-chain,partially-emergent,single-verifiable,hard,abstract,fulltext,abstract,abstract,"['local-retriever', 'structured-query']",listed,"hybrid dense+BM25 retriever over the enterprise document pool; eight structured search tools for employee, customer, GitHub PR, and URL lookups (e.g., Employee Role<->ID Search, Employee Name<->ID Search)",fixed-corpus,fulltext,"Given an enterprise question, search documents, Slack, GitHub and meeting transcripts across multiple hops to produce one precise short answer.","requires source-aware, multi-hop reasoning over diverse, sparsed, but related sources. These include documents, meeting transcripts, Slack messages, GitHub, and URLs",fulltext,https://api.semanticscholar.org/CorpusId:280010989
288903642,BigFinanceBench: A Workflow-Grounded Benchmark for Financial-Research Agents,2026,5,arXiv.org,in,BigFinanceBench,benchmark,mixed,structured-record,text-web,,The best of ten evaluated frontier/open-weight agents reaches only 58.8% rubric score; final-answer accuracy alone is shown to be a lossy proxy for full derivation quality.,,fixed-chain,partially-emergent,single-verifiable,estimable,abstract,abstract,abstract,abstract,"['web-search-api', 'domain-api', 'web-browser', 'code-execution']",listed,"web_search (broad discovery), edgar_search (SEC filings), fetch_url (retrieve selected source), python_exec (sandbox for calculation/tabular manipulation), final_answer (terminates run)",open-web,fulltext,"Given a financial research question, find and use public sources (web, SEC filings), compute the answer, and show an auditable step-by-step derivation.","financial-research tasks in which each item pairs a ground-truth reference answer with a
point-weighted rubric that decomposes the derivation into independently checkable steps.
 BigFinanceBench is workflow-grounded in that it rat",fulltext,https://api.semanticscholar.org/CorpusId:288903642
291906505,BioSecBench-Function: A Verifiable Benchmark for Reasoning about Biological Function from Experimental Data,2026,0,bioRxiv,relevant,BioSecBench-Function,benchmark,structured-database,verified-claim,text-web,,Opus 5 under Claude Code led endpoint pass rate at 50.3%; Grok 4.6 under Grok Build led overall pass rate at 44.1% when refusals counted as failures,,not-determinable,enumerable-at-start,single-verifiable,knowable,abstract,abstract,abstract,abstract,[],not-listed,,not-stated,abstract,"Given real sequence, structural, or biophysical experimental data, infer what biological function or threat a pathogen or variant has.","We present BioSecBench-Function, a verifiable benchmark for recovering biosecurity-relevant function from real biological data.",abstract,https://api.semanticscholar.org/CorpusId:291906505
285659442,"Hunt Globally: Wide Search AI Agents for Drug Asset Scouting in Investing, Business Development, and Competitive Intelligence",2026,2,arXiv.org,relevant,Bioptic drug-asset-scouting completeness benchmark,benchmark,mixed,set-of-entities,text-web,,"Bioptic Agent achieves 79.7% F1, outperforming Gemini 3.1 Deep Think (59.2%), Gemini 3.1 Pro Deep Research (58.6%), Claude Opus 4.6 (56.2%), OpenAI GPT-5.2 Pro (46.6%), Perplexity Deep Research (44.2%), and Exa Websets (26.9%).",,not-determinable,not-determinable,set-valued,hard,abstract,abstract,abstract,abstract,"['web-search-api', 'agent-choice']",listed,"a SERP tool (Google Search) used by the Google Search Agent for an English-vs-origin-language discoverability check; multilingual (English/Chinese) web search by the Bioptic Agent's Investigator Agents; competing systems (Gemini Deep Research/Deep Think, Claude Opus, GPT-5.2 Pro, Perplexity Deep Research, Exa Websets) each using their own built-in tools",open-web,fulltext,"Given a multilingual investment-screening query, exhaustively find every matching early-stage drug asset worldwide, including under-the-radar non-English disclosures.","resolution requires evidence aggregation, multi-hop browsing, and domain reasoning rather than lexical matching",fulltext,https://api.semanticscholar.org/CorpusId:285659442
276742500,BixBench: a Comprehensive Benchmark for LLM-based Agents in Computational Biology,2025,103,arXiv.org,relevant,BixBench,benchmark,structured-database,open-ended-answer,text-web,,Frontier models GPT-4o and Claude 3.5 Sonnet achieve only 17% accuracy in the open-answer regime and no better than random in the multiple-choice setting; no single best model or explicit human-performance gap is given.,,adaptive,partially-emergent,open-ended,not-determinable,abstract,abstract,abstract,abstract,"['code-execution', 'file-reader']",listed,"Aviary framework tools: edit_cell (Jupyter notebook code execution in a Docker environment pre-loaded with bioinformatics packages), list_workdir (inspect local workspace files), submit_answer (finalize the open answer)",fixed-corpus,fulltext,"Given a bioinformatics dataset and a research question, write and run notebook code to analyze the data and answer the question.","An agent is provided a task capsule, consisting of data and associated questions.",fulltext,https://api.semanticscholar.org/CorpusId:276742500
277857238,BrowseComp: A Simple Yet Challenging Benchmark for Browsing Agents,2025,589,arXiv.org,in,BrowseComp,benchmark,open-web,single-fact-answer,text-web,,,https://github.com/openai/simple-evals,adaptive,partially-emergent,single-verifiable,knowable,abstract,abstract,abstract,abstract,"['web-browser', 'web-search-api', 'agent-choice']",partially-listed,GPT-4o with browsing (gpt-4o-search-preview); OpenAI Deep Research,open-web,fulltext,"Given a hard trivia-style question, persistently search the open web to find one short, verifiable fact as the answer.","BrowseComp comprises 1,266 questions that require persistently navigating the internet in search of hard-to-find, entangled information.",fulltext,https://api.semanticscholar.org/CorpusId:277857238
287980005,OpenSeeker-v2: Pushing the Limits of Search Agents with Informative and High-Difficulty Trajectories,2026,6,arXiv.org,relevant,BrowseComp / BrowseComp-ZH / Humanity's Last Exam / xbench (evaluated by OpenSeeker-v2),benchmark,open-web,single-fact-answer,text-web,,"OpenSeeker-v2 (30B, SFT-only, 10.6k training points) achieves 46.0% on BrowseComp, 58.1% on BrowseComp-ZH, 34.6% on Humanity's Last Exam, and 78.0% on xbench, surpassing Tongyi DeepResearch (43.4%, 46.7%, 32.9%, 75.0% respectively).",,adaptive,fully-emergent,single-verifiable,not-determinable,abstract,abstract,abstract,abstract,"['web-search-api', 'agent-choice']",partially-listed,"an expanded tool set (larger than OpenSeeker-v1's) for a ReAct agent, including web search tools; the exact enlarged tool inventory is not enumerated in the paper",open-web,fulltext,"Given a hard search question, iteratively call tools across many steps to gather evidence and reach the correct final answer.",forcing the agent to learn sustained reasoning and information seeking over long horizons,fulltext,https://api.semanticscholar.org/CorpusId:287980005
